timestamp,order_value,avg_price,mid_price,btc_executed,slippage,predicted_slippage,fee,market_impact,latency_ms
1747389225600,100.0,103680.7,103680.65,0.0009644996609783692,4.822500630822664e-05,0.0,0.1,9.73802256938643e-06,131.2026000014157
1747389225700,100.0,103680.7,103678.5,0.0009644996609783692,0.002121944279669449,0.0010850846429888378,0.1,9.73802256938643e-06,80.54859999901964
1747389225800,100.0,103689.4,103684.65,0.0009644187351841172,0.004581198856339873,0.004581198856335789,0.1,9.737197701518585e-06,96.01390000170795
1747389226000,100.0,103689.4,103678.2,0.0009644187351841172,0.010802656681922613,0.007691927769130302,0.1,9.737197701518585e-06,97.17090000049211
1747389226100,100.0,103689.69688930908,103685.0,0.0009644159738141784,0.004529960273020783,0.006736328702729111,0.1,9.737169555196579e-06,101.14039999825764
1747389226200,100.0,103680.7,103680.65,0.0009644996609783692,4.822500630822664e-05,0.0007646507338421316,0.1,9.73802256938643e-06,63.82070000108797
1747389226300,100.0,103693.4,103678.04999999999,0.0009643815324794057,0.014805448212042783,0.011622719282769367,0.1,9.73681849881279e-06,97.77309999844874
1747389226400,100.0,103680.1,103680.35,0.0009645052425682459,-0.0002411257292244866,-0.00024058165539031506,0.1,9.738079461976623e-06,96.56509999695118
1747389226500,100.0,103680.1,103675.1,0.0009645052425682459,0.004822758791648139,0.000821188304442444,0.1,9.738079461976623e-06,97.85560000091209
1747389226600,100.0,103688.0,103684.0,0.0009644317568088882,0.0038578758535550324,0.006628046357150197,0.1,9.73733042944303e-06,99.56400000010035
1747389226700,100.0,103686.9,103679.45000000001,0.0009644419883321809,0.007185609105741337,0.005940117133263811,0.1,9.737434718207622e-06,97.28879999966011
1747389226800,100.0,103680.1,103680.05,0.0009645052425682459,4.822528538798967e-05,0.0006471360719189079,0.1,9.738079461976623e-06,98.59990000040852
1747389226900,100.0,103680.4,103680.2,0.0009645024517652324,0.00019290086245694898,0.0007849611100851916,0.1,9.738051015598439e-06,96.89129999969737
1747389227100,100.0,103688.9,103684.25,0.0009644233857240265,0.004484769866198751,0.007076020680827355,0.1,9.737245103933404e-06,196.6954000017722
1747389227200,100.0,103717.2,103698.6,0.0009641602357178945,0.017936597022516473,0.02022356674306991,0.1,9.734562853192904e-06,96.6420000004291
1747389227300,100.0,103688.9,103677.7,0.0009644233857240265,0.010802708779223584,0.006265210508381358,0.1,9.737245103933404e-06,98.60620000108611
1747389227400,100.0,103692.3,103676.95000000001,0.0009643917629370744,0.014805605296057867,0.008524398326862581,0.1,9.736922776612832e-06,96.13399999943795
1747389227500,100.0,103688.7,103682.95000000001,0.0009644252459525483,0.005545752700888089,0.0065348891130128095,0.1,9.737264065028546e-06,99.14600000047358
1747389227600,100.0,103687.9,103683.95,0.0009644326869383988,0.003809654242529427,0.005985582103171794,0.1,9.737339910147511e-06,95.88950000033947
1747389227700,100.0,103688.5,103683.0,0.0009644271061882466,0.00530463046015258,0.006255658790941254,0.1,9.737283026197529e-06,96.8328000017209
1747389227800,100.0,103687.5,103683.75,0.0009644364074743822,0.0036167673333574453,0.005621456704140826,0.1,9.737377833150031e-06,97.33160000178032
1747389227900,100.0,103687.0,103682.5,0.0009644410581847291,0.004340173124683528,0.0053080506004690164,0.1,9.73742523731854e-06,98.0057000015222
1747389228000,100.0,103686.888201469,103683.4,0.0009644420980760345,0.0033642815233763026,0.005165769045113677,0.1,9.737435836814476e-06,102.0384000003105
1747389228100,100.0,103686.4,103681.2,0.0009644466390963521,0.005015374050451857,0.004909069191946003,0.1,9.737482122929946e-06,95.3784999983327
1747389228200,100.0,103686.888201469,103681.2,0.0009644420980760345,0.005486241931039991,0.005183162852546275,0.1,9.737435836814476e-06,102.95930000211229
1747389228300,100.0,103688.3,103673.9,0.0009644289664311209,0.013889706088040223,0.006248513365122221,0.1,9.73730198744035e-06,89.99549999862211
1747389228400,100.0,103688.3,103674.35,0.0009644289664311209,0.013455594368324554,0.006518705872345265,0.1,9.73730198744035e-06,99.83219999776338
1747389228500,100.0,103689.4,103673.6,0.0009644187351841172,0.01524013828012952,0.007427606896889927,0.1,9.737197701518585e-06,96.12230000129784
1747389228600,100.0,103689.3,103681.65,0.0009644196652885109,0.0073783548004962615,0.00737229464064626,0.1,9.737207181964628e-06,100.45940000054543
1747389228700,100.0,103686.9,103681.45000000001,0.0009644419883321809,0.005256485128229339,0.006012828591536845,0.1,9.737434718207622e-06,95.07169999778853
1747389228800,100.0,103707.0,103661.0,0.0009642550647497276,0.04437541601952519,0.023729189673844076,0.1,9.735529430486828e-06,104.51760000069044
1747389229000,100.0,103700.3,103683.75,0.0009643173645592153,0.01596199983122033,0.017766832139528788,0.1,9.736164443551196e-06,99.26560000167228
1747389229100,100.0,103689.4,103681.65,0.0009644187351841172,0.007474803882847158,0.008520351337452325,0.1,9.737197701518585e-06,96.71019999950659
1747389229200,100.0,103716.86573229429,103685.4,0.0009641633430970815,0.03034731244157313,0.03128413737969993,0.1,9.73459452618803e-06,104.2202000026009
1747389229300,100.0,103680.1,103678.15,0.0009645052425682459,0.001880820597215172,0.0008241305985166036,0.1,9.738079461976623e-06,94.67149999909452
1747389229400,100.0,103686.9,103674.29999999999,0.0009644419883321809,0.012153445935980106,0.006615199567917784,0.1,9.737434718207622e-06,97.29560000050697
1747389229500,100.0,103687.9,103679.1,0.0009644326869383988,0.008487727999170863,0.007466066823354822,0.1,9.737339910147511e-06,87.51619999748073
1747389229600,100.0,103680.1,103680.05,0.0009645052425682459,4.822528538798967e-05,0.0010038739781208506,0.1,9.738079461976623e-06,91.53860000151326
